order_id,customer_id,amount,country,order_date
1,380,422.86,DE,2025-11-27
2,425,382.62,FR,2025-02-11
3,82,297.84,ES,2025-07-18
4,34,389.07,IT,2025-02-06
5,485,108.99,FR,2025-12-03
6,119,314.88,US,2025-12-26
7,487,202.98,FR,2025-02-11
8,380,325.01,ES,2025-09-24
9,229,32.43,FR,2025-08-28
10,43,483.83,ES,2025-06-30
11,429,434.72,US,2025-08-02
12,225,353.89,ES,2025-12-30
13,383,127.04,FR,2025-04-14
14,299,323.91,US,2026-01-03
15,111,58.99,DE,2025-02-05
16,450,175.42,US,2025-05-07
17,13,481.13,FR,2025-04-15
18,29,218.31,ES,2025-10-30
19,207,198.49,IT,2025-02-09
20,91,131.63,ES,2025-05-12
21,355,216.07,FR,2025-07-29
22,242,320.73,DE,2025-01-21
23,371,161.5,DE,2025-01-20
24,273,140.31,US,2025-12-15
25,408,10.56,US,2025-11-18
26,491,341.88,ES,2025-07-26
27,237,454.24,ES,2025-03-01
28,385,410.63,ES,2025-09-10
29,193,49.1,DE,2025-07-13
30,162,277.13,US,2025-07-01
31,354,322.99,ES,2025-11-11
32,162,282.49,ES,2025-07-07
33,81,457.51,DE,2025-12-09
34,389,197.23,ES,2025-08-30
35,364,290.02,DE,2025-02-11
36,226,392.55,ES,2025-03-02
37,291,365.49,DE,2025-11-21
38,93,453.18,ES,2025-09-07
39,465,419.07,DE,2025-07-18
40,224,418.29,IT,2025-01-26
41,335,470.85,DE,2025-08-08
42,66,348.56,DE,2025-12-18
43,321,114.04,IT,2025-06-14
44,192,238.54,IT,2025-08-20
45,304,489.86,FR,2025-06-06
46,274,160.25,IT,2025-06-09
47,97,14.28,DE,2025-12-03
48,162,130.35,US,2025-08-30
49,107,126.34,US,2025-07-31
50,101,203.24,IT,2025-05-08
51,350,238.89,IT,2025-07-21
52,192,386.24,ES,2025-06-24
53,143,71.11,ES,2025-06-04
54,94,194.82,ES,2025-10-09
55,133,176.79,ES,2025-04-16
56,272,170.38,DE,2025-11-25
57,73,359.25,IT,2025-02-21
58,273,294.38,FR,2025-11-19
59,55,478.45,IT,2025-12-17
60,414,484.57,DE,2025-07-01
61,301,40.3,DE,2025-12-23
62,77,231.91,FR,2026-01-17
63,428,451.75,ES,2025-10-25
64,118,443.37,ES,2025-09-08
65,354,279.65,DE,2025-11-28
66,465,38.8,DE,2025-08-01
67,155,222.44,IT,2025-03-29
68,206,136.62,US,2025-03-30
69,473,225.09,IT,2025-05-04
70,252,81.92,FR,2025-07-27
71,313,227.88,US,2025-11-16
72,462,267.5,FR,2025-05-09
73,333,247.73,IT,2025-09-07
74,52,436.56,FR,2025-11-19
75,89,344.65,US,2025-11-18
76,19,351.26,US,2025-04-30
77,365,412.91,FR,2025-10-27
78,90,256.92,FR,2025-12-09
79,487,52.77,US,2025-04-25
80,305,125.13,IT,2025-11-03
81,307,390.95,ES,2025-09-10
82,452,143.59,DE,2025-12-02
83,283,381.54,IT,2025-02-17
84,143,223.69,IT,2026-01-03
85,482,324.55,IT,2025-09-28
86,299,460.85,DE,2025-12-29
87,127,439.04,DE,2025-11-19
88,250,240.18,IT,2025-11-17
89,488,88.91,IT,2025-11-11
90,66,135.93,ES,2025-11-27
91,27,229.61,FR,2025-07-09
92,229,497.6,IT,2025-09-25
93,301,45.17,US,2025-09-28
94,374,89.76,ES,2025-03-28
95,266,482.53,IT,2025-12-09
96,21,408.24,IT,2025-11-27
97,277,162.43,US,2025-10-28
98,54,91.05,FR,2025-03-09
99,466,198.39,ES,2025-02-16
100,259,386.07,ES,2025-04-24
101,464,485.52,IT,2025-09-16
102,394,244.46,DE,2026-01-09
103,38,125.2,ES,2025-10-14
104,415,258.08,IT,2025-03-23
105,456,35.47,FR,2025-12-19
106,326,201.73,ES,2025-08-30
107,179,346.03,ES,2025-10-27
108,417,192.66,ES,2025-05-04
109,382,403.32,DE,2025-05-08
110,212,412.29,DE,2025-09-17
111,219,113.95,ES,2025-02-05
112,22,167.25,FR,2025-11-06
113,175,171.93,US,2025-05-27
114,217,459.95,IT,2025-09-18
115,249,108.29,FR,2025-02-07
116,227,178.53,FR,2025-05-11
117,42,206.64,DE,2025-03-17
118,159,135.02,FR,2025-01-23
119,454,244.07,IT,2025-08-09
120,42,153.63,IT,2025-12-02
121,448,150.41,IT,2025-04-06
122,186,438.4,US,2025-12-23
123,404,252.83,US,2025-09-11
124,453,207.0,ES,2025-07-01
125,50,264.32,ES,2025-09-27
126,63,311.43,DE,2025-06-29
127,302,143.07,DE,2025-03-21
128,60,487.96,US,2025-11-13
129,270,84.95,FR,2025-01-19
130,269,198.71,US,2025-06-19
131,246,292.9,DE,2025-12-29
132,89,115.98,IT,2025-08-10
133,480,488.22,DE,2025-12-09
134,227,160.11,US,2025-12-14
135,454,157.94,FR,2025-06-11
136,228,133.93,US,2025-02-23
137,324,488.16,US,2025-04-08
138,193,491.01,IT,2025-09-25
139,405,457.42,IT,2025-05-13
140,418,289.45,DE,2025-05-26
141,296,194.56,FR,2025-10-23
142,144,328.15,IT,2025-03-29
143,40,407.69,US,2025-09-28
144,409,402.1,IT,2026-01-18
145,369,413.74,IT,2025-02-06
146,26,318.12,IT,2025-06-10
147,427,272.61,US,2025-09-29
148,338,79.79,US,2025-07-23
149,266,274.26,FR,2025-06-06
150,286,120.9,US,2025-03-29
151,188,460.72,IT,2025-09-30
152,183,227.77,ES,2025-01-26
153,220,474.12,DE,2025-11-14
154,15,216.98,FR,2025-09-29
155,351,352.7,FR,2025-12-29
156,12,346.98,FR,2025-10-13
157,301,246.34,US,2025-05-25
158,256,477.58,US,2025-08-28
159,374,151.19,IT,2025-11-23
160,51,384.97,IT,2025-09-13
161,450,363.89,FR,2025-07-17
162,120,466.98,DE,2025-08-31
163,79,37.12,DE,2025-11-30
164,473,387.27,US,2025-04-23
165,420,91.86,DE,2025-05-09
166,287,254.35,DE,2025-03-21
167,405,166.68,DE,2025-06-07
168,424,230.14,US,2025-12-15
169,103,158.56,DE,2025-08-23
170,329,407.46,ES,2025-11-04
171,188,347.32,DE,2025-01-19
172,305,56.09,FR,2026-01-15
173,187,411.54,ES,2025-06-15
174,290,367.43,FR,2025-09-15
175,313,198.82,DE,2025-03-05
176,107,336.77,FR,2025-06-19
177,429,430.49,ES,2025-01-18
178,259,231.89,DE,2025-12-01
179,437,61.84,DE,2025-03-01
180,58,100.72,DE,2026-01-06
181,353,136.34,DE,2025-02-11
182,52,232.12,US,2025-08-25
183,212,445.4,ES,2026-01-07
184,14,385.67,DE,2025-11-08
185,333,214.15,FR,2026-01-12
186,382,17.26,US,2025-03-14
187,267,268.05,DE,2025-08-15
188,133,272.03,ES,2025-02-19
189,446,362.93,US,2025-04-13
190,334,363.53,ES,2025-01-18
191,216,328.67,DE,2025-04-14
192,131,432.11,US,2025-04-26
193,132,402.64,DE,2025-12-25
194,433,452.31,DE,2025-10-14
195,436,235.97,FR,2025-09-27
196,286,389.33,IT,2025-12-03
197,270,141.35,DE,2025-03-27
198,376,358.1,DE,2025-06-15
199,160,42.76,IT,2025-08-30
200,5,323.99,DE,2025-10-30
201,87,201.19,DE,2025-04-01
202,119,201.7,ES,2025-09-25
